"WARNAME","STATENAME","ISO3C","STARTDATE","ENDDATE","TOTAL_WAR_TIME","TOTAL_BATTLE_DEATHS","LAT","LNG"
"Football War","El Salvador","SLV",14-JUL-69,18-JUL-69,4,1900,13.8792,-88.3707
"Football War","Honduras","HND",14-JUL-69,18-JUL-69,4,1900,13.8792,-88.3707
"Communist Coalition","Vietnam","VNM",23-MAR-70,02-JUL-71,466,6525,19.2248,104.094
"Communist Coalition","United States of America","USA",01-MAY-70,02-JUL-71,427,6525,19.2248,104.094
"Communist Coalition","Cambodia","KHM",23-MAR-70,02-JUL-71,466,6525,19.2248,104.094
"Bangladesh","India","IND",03-DEC-71,17-DEC-71,14,11223,25.224762,88.865899
"Bangladesh","Pakistan","PAK",03-DEC-71,17-DEC-71,14,11223,25.224762,88.865899
"Yom Kippur War","Saudi Arabia","SAU",10-OCT-73,24-OCT-73,14,14439,33.0388,35.8546
"Yom Kippur War","Israel","ISR",06-OCT-73,24-OCT-73,18,14439,33.0388,35.8546
"Yom Kippur War","Egypt","EGY",06-OCT-73,24-OCT-73,18,14439,33.0388,35.8546
"Yom Kippur War","Syria","SYR",06-OCT-73,24-OCT-73,18,14439,33.0388,35.8546
"Yom Kippur War","Jordan","JOR",10-OCT-73,24-OCT-73,14,14439,33.0388,35.8546
"Yom Kippur War","Iraq","IRQ",06-OCT-73,24-OCT-73,18,14439,33.0388,35.8546
"Turco_Cypriot","Turkey","TUR",20-JUL-74,29-JUL-74,9,1500,35.0459,33.2218
"Turco_Cypriot","Cyprus","CYP",20-JUL-74,29-JUL-74,9,1500,35.0459,33.2218
"Turco_Cypriot","Cyprus","CYP",20-JUL-74,29-JUL-74,9,1500,35.0459,33.2218
"War over Angola","South Africa","ZAF",23-OCT-75,12-FEB-76,112,2700,-12.589568,17.026094
"War over Angola","Democratic Republic of the Congo","COD",23-OCT-75,12-FEB-76,112,2700,-12.589568,17.026094
"War over Angola","Cuba","CUB",23-OCT-75,12-FEB-76,112,2700,-12.589568,17.026094
"War over Angola","Angola","AGO",11-NOV-75,12-FEB-76,93,2700,-12.589568,17.026094
"Second Ogaden War, Phase 2","Somalia","SOM",23-JUL-77,09-MAR-78,229,10500,7.70284,47.6729
"Second Ogaden War, Phase 2","Cuba","CUB",23-NOV-77,09-MAR-78,106,10500,7.70284,47.6729
"Second Ogaden War, Phase 2","Ethiopia","ETH",23-JUL-77,09-MAR-78,229,10500,7.70284,47.6729
"Vietnamese_Cambodian","Cambodia","KHM",24-SEP-77,08-JAN-79,471,8000,11.5449,104.892
"Vietnamese_Cambodian","Vietnam","VNM",24-SEP-77,08-JAN-79,471,8000,11.5449,104.892
"Ugandian_Tanzanian","Uganda","UGA",28-OCT-78,11-APR-79,165,3000,-1.00008,32.1947
"Ugandian_Tanzanian","Tanzania","TZA",28-OCT-78,11-APR-79,165,3000,-1.00008,32.1947
"Ugandian_Tanzanian","Libya","LBY",01-FEB-79,11-APR-79,69,3000,-1.00008,32.1947
"Sino_Vietnamese Punitive","Vietnam","VNM",17-FEB-79,16-MAR-79,27,21000,23.2844,105.201
"Sino_Vietnamese Punitive","China","CHN",17-FEB-79,16-MAR-79,27,21000,23.2844,105.201
"Iran_Iraq","Iraq","IRQ",22-SEP-80,20-AUG-88,2889,1250000,30.4622,48.0287
"Iran_Iraq","Iran","IRN",22-SEP-80,20-AUG-88,2889,1250000,30.4622,48.0287
"Falkland Islands","Argentina","ARG",25-MAR-82,15-JUN-82,82,1001,-51.7963,-59.5236
"Falkland Islands","United Kingdom","GBR",25-MAR-82,15-JUN-82,82,1001,-51.7963,-59.5236
"War over Lebanon","Syria","SYR",21-APR-82,15-SEP-82,147,1655,33.8938,35.5018
"War over Lebanon","Israel","ISR",21-APR-82,15-SEP-82,147,1655,33.8938,35.5018
"War over the Aouzou Strip","Chad","TCD",15-NOV-86,11-SEP-87,300,8000,21.812487,17.453119
"War over the Aouzou Strip","Libya","LBY",15-NOV-86,11-SEP-87,300,8000,21.812487,17.453119
"Sino_Vietnamese Border War","Vietnam","VNM",05-JAN-87,06-FEB-87,32,4000,23.2844,105.201
"Sino_Vietnamese Border War","China","CHN",05-JAN-87,06-FEB-87,32,4000,23.2844,105.201
"Gulf War","Oman","OMN",16-JAN-91,11-APR-91,85,41466,29.362458,47.698599
"Gulf War","United Kingdom","GBR",16-JAN-91,11-APR-91,85,41466,29.362458,47.698599
"Gulf War","Italy","ITA",16-JAN-91,11-APR-91,85,41466,29.362458,47.698599
"Gulf War","Egypt","EGY",16-JAN-91,11-APR-91,85,41466,29.362458,47.698599
"Gulf War","Canada","CAN",16-JAN-91,11-APR-91,85,41466,29.362458,47.698599
"Gulf War","Qatar","QAT",16-JAN-91,11-APR-91,85,41466,29.362458,47.698599
"Gulf War","Morocco","MAR",16-JAN-91,11-APR-91,85,41466,29.362458,47.698599
"Gulf War","United States of America","USA",16-JAN-91,11-APR-91,85,41466,29.362458,47.698599
"Gulf War","United Arab Emirates","ARE",16-JAN-91,11-APR-91,85,41466,29.362458,47.698599
"Gulf War","Saudi Arabia","SAU",16-JAN-91,11-APR-91,85,41466,29.362458,47.698599
"Gulf War","Iraq","IRQ",02-AUG-90,11-APR-91,252,41466,29.362458,47.698599
