"WARNAME","STATENAME","ISO3C","STARTDATE","ENDDATE","TOTAL_WAR_TIME","TOTAL_BATTLE_DEATHS","LAT","LNG"
"Manchurian","USSR","RUS",17-AUG-29,03-DEC-29,108,3200,45.8038,126.535
"Second Sino_Japanese","China","CHN",19-DEC-31,22-MAY-33,520,60000,45.8038,126.535
"Second Sino_Japanese","Japan","JPN",19-DEC-31,22-MAY-33,520,60000,45.8038,126.535
"Chaco","Paraguay","PRY",15-JUN-32,12-JUN-35,1092,92661,-23,-60
"Chaco","Bolivia","BOL",15-JUN-32,12-JUN-35,1092,92661,-23,-60
"Saudi_Yemeni","Saudi Arabia","SAU",20-MAR-34,13-MAY-34,54,2100,17.3755,44.5422
"Conquest of Ethiopia","Ethiopia","ETH",03-OCT-35,09-MAY-36,219,20000,7.05,45.4
"Conquest of Ethiopia","Italy","ITA",03-OCT-35,09-MAY-36,219,20000,7.05,45.4
"Third Sino_Japanese","China","CHN",07-JUL-37,06-DEC-41,1613,1000000,38.972156,117.70421
"Third Sino_Japanese","Japan","JPN",07-JUL-37,06-DEC-41,1613,1000000,38.972156,117.70421
"Changkufeng","Japan","JPN",29-JUL-38,11-AUG-38,13,1726,42.445126,130.631813
"Changkufeng","USSR","RUS",29-JUL-38,11-AUG-38,13,1726,42.445126,130.631813
"Nomonhan","USSR","RUS",11-MAY-39,16-SEP-39,128,28000,47.72182,118.769816
"Nomonhan","Mongolia","MNG",11-MAY-39,16-SEP-39,128,28000,47.72182,118.769816
"Nomonhan","Japan","JPN",11-MAY-39,16-SEP-39,128,28000,47.72182,118.769816
"World War II","United States of America","USA",07-DEC-41,14-AUG-45,1346,13365089,52.518553,14.614435
"World War II","France","FRA",03-SEP-39,22-JUN-40,293,13365089,52.518553,14.614435
"World War II","Hungary","HUN",27-JUN-41,20-JAN-45,1303,13365089,52.518553,14.614435
"World War II","Bulgaria","BGR",09-SEP-44,07-MAY-45,240,13365089,52.518553,14.614435
"World War II","Germany","DEU",01-SEP-39,07-MAY-45,2075,13365089,52.518553,14.614435
