"WAR_YEAR","COUNTRY_GAINING","COUNTRY_LOSING","POP","AREA","CONSEQUENCE"
1946,"Syria","France",2978000,184920,"unknown process"
1946,"Lebanon","France",1156000,10400,"unknown process"
1946,"Jordan","United Kingdom",400000,89484,"unknown process"
1946,"Philippines","United States",18400000,299404,"unknown process"
1947,"United States","Japan",47000,1779,"mandated"
1947,"France","Italy",,1,"cession"
1947,"Albania","Italy",,5,"cession"
1947,"Greece","Italy",115343,2681,"cession"
1947,"Russia","Romania",3500000,49987,"conquest"
1947,"Russia","Finland",450000,44104,"cession"
1947,"India","United Kingdom",345000,2729368,"unknown process"
1947,"Pakistan","United Kingdom",72200000,863777,"unknown process"
1947,"Australia","United Kingdom",0,412,"cession"
1948,"Canada","United Kingdom",324000,404519,"unification"
1948,"Israel","United Kingdom",782000,12820,"unknown process"
1948,"North Korea","Russia",8000000,121129,"unknown process"
1948,"South Korea","United States",20200000,98500,"unknown process"
1948,"Myanmar","United Kingdom",18100000,678034,"unknown process"
1948,"Sri Lanka","United Kingdom",7244000,65610,"unknown process"
1949,"Belgium","Germany",,18,"cession"
1949,"Luxembourg","Germany",,6,"cession"
1949,"France","Germany",,7,"cession"
1949,"Egypt","Israel",405000,258,"conquest"
1949,"Jordan","Israel",400000,5607,"conquest"
1949,"Taiwan","China",7099000,36156,"secession"
1949,"India","Pakistan",2700000,139860,"conquest"
1949,"Bhutan","India",19920,83,"cession"
1949,"Bhutan","India",300000,46600,"unknown process"
1949,"Pakistan","India",1320000,32024,"conquest"
1949,"Indonesia","Netherlands",74800000,1491562,"unknown process"
1950,"India","France",44786,10,"cession"
1951,"Poland","Russia",7000,240,"cession"
1951,"Russia","Poland",7000,240,"cession"
1953,"Japan","United States",,1000,"cession"
1953,"Cambodia","France",4440000,172511,"unknown process"
1954,"India","France",323000,503,"cession"
1953,"Laos","France",1505000,236800,"unknown process"
1954,"Vietnam","France",16100000,155203,"unknown process"
1955,"France","Libya",,26000,"cession"
1955,"China","Taiwan",300,1,"cession"
1955,"Australia","United Kingdom",500,14,"cession"
1956,"Morocco","France",8955000,380800,"unknown process"
1956,"Morocco","Spain",1045000,19656,"cession"
1956,"Tunisia","France",3963000,125180,"unknown process"
1956,"Sudan","United Kingdom",10300000,2505823,"unknown process"
1956,"Egypt","United Kingdom",,1,"cession"
1956,"Japan","Russia",,500,"cession"
1957,"Ghana","United Kingdom",6250000,204097,"unknown process"
1957,"Ghana","United Kingdom",429000,33776,"unification"
1957,"Malaysia","United Kingdom",6279000,131287,"unknown process"
1958,"Guinea","France",2896000,245857,"unknown process"
1958,"Morocco","Spain",9000,13219,"cession"
1958,"Egypt","Syria",29300000,1187338,"unification"
1958,"India","Pakistan",,1,"cession"
1958,"Pakistan","India",300,1,"cession"
1958,"Pakistan","Oman",8146,1,"cession"
1958,"Australia","United Kingdom",3361,135,"cession"
1960,"Honduras","Nicaragua",,20720,"cession"
1960,"Cyprus","United Kingdom",573000,9251,"unknown process"
1960,"Mali","France",7172000,1401182,"unknown process"
1960,"Senegal","Mali",3110000,197161,"secession"
1960,"Benin","France",2050000,115760,"unknown process"
1960,"Mauritania","France",970000,1085805,"unknown process"
1960,"Niger","France",2876000,1188794,"unknown process"
1960,"Côte d'Ivoire","France",3230000,322463,"unknown process"
1960,"Burkina Faso","France",4400000,274200,"unknown process"
1960,"Togo","France",1440000,56600,"unknown process"
1960,"Cameroon","France",4700000,432012,"unknown process"
1960,"Nigeria","United Kingdom",52000000,878447,"unknown process"
1960,"Gabon","France",446000,267000,"unknown process"
1960,"Central African Republic","France",1227000,626000,"unknown process"
1960,"Chad","France",3070000,1283000,"unknown process"
1960,"Congo - Brazzaville","France",773000,342000,"unknown process"
1960,"Congo - Kinshasa","Belgium",14100000,2344932,"unknown process"
1960,"Somalia","Italy",1330000,461541,"unknown process"
1960,"Somalia","United Kingdom",650000,176120,"unification"
1960,"Madagascar","France",5393000,590000,"unknown process"
1961,"Benin","Portugal",12,2,"conquest"
1961,"Sierra Leone","United Kingdom",2252000,72326,"unknown process"
1961,"Cameroon","United Kingdom",840000,42945,"unification"
1961,"Nigeria","United Kingdom",,45325,"unification"
1961,"Tanzania","United Kingdom",9399000,939361,"unknown process"
1961,"Syria","Egypt",4693000,184920,"secession"
1961,"Kuwait","United Kingdom",322000,15540,"unknown process"
1961,"China","Myanmar",0,161,"cession"
1961,"India","Portugal",649660,4193,"conquest"
1961,"Nepal","China",31200,780,"cession"
1962,"Jamaica","United Kingdom",1661000,11424,"unknown process"
1962,"Trinidad & Tobago","United Kingdom",900000,5128,"unknown process"
1962,"Uganda","United Kingdom",7016000,243411,"unknown process"
1962,"Burundi","Belgium",3025000,27834,"unknown process"
1962,"Rwanda","Belgium",2840000,26388,"unknown process"
1962,"Algeria","France",10900000,2381741,"unknown process"
1962,"Samoa","New Zealand",116000,2823,"unknown process"
1963,"Mexico","United States",100,2,"cession"
1963,"Kenya","United Kingdom",8847000,582646,"unknown process"
1963,"Pakistan","China",9136,1942,"cession"
1963,"Malaysia","United Kingdom",1733000,583,"unification"
1963,"Malaysia","United Kingdom",478000,76115,"unification"
1963,"Malaysia","United Kingdom",778000,124967,"unification"
1963,"Indonesia","Netherlands",751000,412781,"cession"
1964,"Malta","United Kingdom",324000,316,"unknown process"
1964,"Zambia","United Kingdom",3600000,751936,"unknown process"
1964,"Malawi","United Kingdom",3845000,119311,"unknown process"
1965,"Gambia","United Kingdom",330000,10368,"unknown process"
1965,"Jordan","Saudi Arabia",750,750,"cession"
1965,"Saudi Arabia","Jordan",750,750,"cession"
1965,"Maldives","United Kingdom",98000,298,"unknown process"
1965,"Singapore","Malaysia",1865000,583,"secession"
1966,"Barbados","United Kingdom",238000,430,"unknown process"
1966,"Guyana","United Kingdom",714223,210000,"unknown process"
1966,"Lesotho","United Kingdom",1080857,30340,"unknown process"
1966,"Botswana","United Kingdom",667000,575000,"unknown process"
1967,"Israel","Egypt",418800,53242,"conquest"
1967,"Israel","Syria",60000,1710,"conquest"
1967,"Israel","Jordan",674500,5878,"conquest"
1967,"Oman","United Kingdom",85,73,"cession"
1968,"Equatorial Guinea","Spain",290000,28051,"unknown process"
1968,"Eswatini","United Kingdom",442195,17400,"unknown process"
1968,"Mauritius","United Kingdom",830700,1865,"unknown process"
1968,"Japan","United States",,100,"cession"
1968,"India","Pakistan",,7000,"cession"
1968,"Pakistan","India",187200,780,"cession"
1968,"Nauru","Australia",6603,22,"unknown process"
1969,"Morocco","Spain",51517,1505,"cession"
1969,"Saudi Arabia","Kuwait",2080,2850,"cession"
1969,"Kuwait","Saudi Arabia",2080,2850,"cession"
1970,"Fiji","United Kingdom",524457,18272,"unknown process"
1970,"Tonga","United Kingdom",87406,700,"unknown process"
1971,"Nicaragua","United States",2116,6,"cession"
1971,"Iran","United Arab Emirates",100,1,"conquest"
1971,"Iran","United Arab Emirates",100,1,"annexation"
1971,"Bahrain","United Kingdom",216815,723,"unknown process"
1971,"Qatar","United Kingdom",160000,11000,"unknown process"
1971,"United Arab Emirates","United Arab Emirates",154656,90410,"unification"
1971,"India","Pakistan",5000000,13361,"conquest"
1971,"Pakistan","India",75600,315,"conquest"
1971,"Bangladesh","Pakistan",71300000,144020,"secession"
1972,"Honduras","United States",,3,""
1972,"United Arab Emirates","United Arab Emirates",24482,1690,"unification"
1972,"Japan","United States",934176,848,""
1972,"India","Pakistan",,179,""
1972,"Pakistan","India",3506160,14609,""
1973,"Bahamas","United Kingdom",168812,13864,"unknown process"
1973,"Libya","Chad",78000,78000,"conquest"
1973,"Israel","Syria",15000,780,"conquest"
1974,"Grenada","United Kingdom",107779,344,"unknown process"
1974,"Guinea-Bissau","Portugal",487448,36125,"unknown process"
1974,"Turkey","Cyprus",250000,3640,"conquest"
1974,"Egypt","Israel",1000,1000,""
1974,"Sri Lanka","India",100,1,""
1975,"Suriname","Netherlands",414000,163265,"unknown process"
1975,"Cape Verde","Portugal",272071,4033,"unknown process"
1975,"São Tomé e Príncipe","Portugal",76430,964,"unknown process"
1975,"Angola","Portugal",5673046,1246700,"unknown process"
1975,"Mozambique","Portugal",8233834,784961,"unknown process"
1975,"Comoros","France",252000,1862,"unknown process"
1975,"Iraq","Saudi Arabia",,3500,""
1975,"Egypt","Israel",2000,20000,""
1975,"Saudi Arabia","Iraq",2000,3500,""
1975,"Papua New Guinea","Australia",2600000,462840,"unknown process"
1976,"France","Comoros",38000,374,"secession"
1976,"Mauritania","Spain",,88667,""
1976,"Seychelles","United Kingdom",59000,404,"unknown process"
1976,"Seychelles","United Kingdom",,27,""
1976,"Morocco","Spain",,177667,""
1976,"Syria","Israel",,780,""
1976,"Indonesia","Portugal",610541,14984,"conquest"
1977,"Djibouti","France",300000,23000,"unknown process"
1978,"Dominica","United Kingdom",78000,728,"unknown process"
1978,"Panama","United States",41800,1676,""
1978,"Solomon Islands","United Kingdom",196823,29785,"unknown process"
1978,"Tuvalu","United Kingdom",5887,24,"unknown process"
1979,"St. Lucia","United Kingdom",121000,616,"unknown process"
1979,"St. Vincent & Grenadines","United Kingdom",120000,389,"unknown process"
1979,"Egypt","Israel",2000,20000,""
1979,"Kiribati","United Kingdom",57816,572,"unknown process"
1980,"Zimbabwe","United Kingdom",7360000,390622,"unknown process"
1980,"Morocco","Mauritania",100000,88667,""
1980,"Vanuatu","France",97468,14760,"unknown process"
1981,"Colombia","United States",0,10,""
1981,"Belize","United Kingdom",148300,22800,"unknown process"
1981,"Antigua & Barbuda","United Kingdom",77000,440,"unknown process"
1983,"St. Kitts & Nevis","United Kingdom",44500,360,"unknown process"
1984,"Brunei","United Kingdom",215000,5270,"unknown process"
1986,"Marshall Islands","United States",40000,181,"unknown process"
1986,"Micronesia","United States",95000,702,"unknown process"
1986,"Mali","Burkina Faso",65000,1553,""
1989,"Egypt","Israel",0,1,""
1990,"Namibia","South Africa",1372000,823290,"unknown process"
1991,"Georgia","Russia",5500000,69700,"secession"
1991,"Moldova","Russia",4350000,33700,"secession"
1991,"Belarus","Russia",10200000,207600,"secession"
1991,"Azerbaijan","Russia",7200000,86600,"secession"
1991,"Kyrgyzstan","Russia",4375000,198500,"secession"
1991,"Uzbekistan","Russia",20300000,447400,"secession"
1991,"Estonia","Russia",1581000,45227,"secession"
1991,"Latvia","Russia",2600000,64610,"secession"
1991,"Lithuania","Russia",3754000,65301,"secession"
1991,"Armenia","Russia",3450000,28400,"secession"
1991,"Tajikistan","Russia",5250000,143100,"secession"
1991,"Turkmenistan","Russia",3600000,488100,"secession"
1991,"Ukraine","Russia",52000000,603700,"secession"
1991,"Kazakhstan","Russia",16700000,2717300,"secession"
1992,"Yemen","Oman",0,1875,""
1992,"Oman","Yemen",0,1250,""
1992,"Bangladesh","India",20,1,""
1993,"Eritrea","Ethiopia",3000000,124993,"secession"
1993,"Kuwait","Iraq",0,,""
1994,"Namibia","South Africa",30000,1124,""
1994,"Palau","United States",15600,487,"unknown process"
1995,"Jordan","Israel",0,340,""
1996,"China","Russia",0,18,""
1997,"Czechia","Slovakia",31,5,""
1997,"Slovakia","Czechia",120,5,""
1997,"China","United Kingdom",6700000,1084,""
1998,"China","Kazakhstan",,470,""
1998,"Ukraine","Moldova",0,1,""
1998,"Moldova","Ukraine",0,1,""
1999,"Russia","Estonia",0,30,""
1999,"Estonia","Russia",0,30,""
1999,"China","Portugal",447000,21,""
2000,"Egypt","Sudan",5000,20580,"conquest"
2003,"Nigeria","Cameroon",,,""
2003,"Cameroon","Nigeria",,,""
2004,"Yemen","Saudi Arabia",,40000,""
2008,"Cameroon","Nigeria",300000,665,""
2008,"China","Russia",0,174,""
2011,"China","Tajikistan",,1142,""
2011,"South Sudan","Sudan",8260000,619745,"unknown process"
2014,"Russia","Ukraine",2400000,27000,"conquest"
2015,"India","Bangladesh",51000,69,"unknown process"
2015,"Bangladesh","India",51000,29,"unknown process"
1954,"India","Portugal",57963,491,"annexation"
1999,"Botswana","Namibia",0,5,""
