WARNAME,STATENAME,ISO3C,STARTDAY,STARTMONTH,STARTYEAR,ENDDAY,ENDMONTH,ENDYEAR,TOTAL_WAR_TIME,TOTAL_BATTLE_DEATHS,LAT,LNG,Start_date
Yom Kippur War,Syria,SYR,06,10,1973,24,10,1973,18,14439,33.0388,35.8546,6/10/1973
Yom Kippur War,Jordan,JOR,10,10,1973,24,10,1973,14,14439,33.0388,35.8546,10/10/1973
Yom Kippur War,Iraq,IRQ,06,10,1973,24,10,1973,18,14439,33.0388,35.8546,6/10/1973
Russo_Polish,Poland,POL,14,02,1919,18,10,1920,612,100000,52.5394,23.4462,14/02/1919
Russo_Polish,Russia,RUS,14,02,1919,18,10,1920,612,100000,52.5394,23.4462,14/02/1919
Italian_Roman,Sardinia/Piedmont,ITA,11,09,1860,29,09,1860,18,1000,45.47,8.88,11/09/1860
Italian_Roman,Papal States,VAT,11,09,1860,29,09,1860,18,1000,45.47,8.88,11/09/1860
Conquest of Egypt,Egypt,EGY,11,07,1882,15,09,1882,66,10079,26.4943,29.872,11/07/1882
Conquest of Egypt,United Kingdom,GBR,11,07,1882,15,09,1882,66,10079,26.4943,29.872,11/07/1882
First Russo_Turkish,Russia,RUS,26,04,1828,14,09,1829,506,130000,45.4353,28.008,26/04/1828
First Russo_Turkish,Ottoman Empire,TUR,26,04,1828,14,09,1829,506,130000,45.4353,28.008,26/04/1828
Mexican_American,United States of America,USA,25,04,1846,14,09,1847,507,19283,31.4911,-99.358,25/04/1846
Mexican_American,Mexico,MEX,25,04,1846,14,09,1847,507,19283,31.4911,-99.358,25/04/1846
Russo_Japanese,Russia,RUS,08,02,1904,15,09,1905,585,151831,38.8517,121.262,8/02/1904
Russo_Japanese,Japan,JPN,08,02,1904,15,09,1905,585,151831,38.8517,121.262,8/02/1904
World War II,Poland,POL,01,09,1939,27,09,1939,26,13365089,52.518553,14.614435,1/09/1939
World War I,Bulgaria,BGR,12,10,1915,29,09,1918,1083,8578031,50.8798,4.70052,12/10/1915
Second Kashmir,India,IND,05,08,1965,23,09,1965,49,7061,33.7594,76.6126,5/08/1965
Second Kashmir,Pakistan,PAK,05,08,1965,23,09,1965,49,7061,33.7594,76.6126,5/08/1965
World War II,Bulgaria,BGR,13,12,1941,08,09,1944,1000,13365089,52.518553,14.614435,13/12/1941
World War II,Italy,ITA,10,06,1940,02,09,1943,1179,13365089,52.518553,14.614435,10/06/1940
World War II,Finland,FIN,25,06,1941,19,09,1944,1182,13365089,52.518553,14.614435,25/06/1941
Nomonhan,USSR,RUS,11,05,1939,16,09,1939,128,28000,47.72182,118.769816,11/05/1939
Nomonhan,Mongolia,MNG,11,05,1939,16,09,1939,128,28000,47.72182,118.769816,11/05/1939
Nomonhan,Japan,JPN,11,05,1939,16,09,1939,128,28000,47.72182,118.769816,11/05/1939
War over Lebanon,Syria,SYR,21,04,1982,15,09,1982,147,1655,33.8938,35.5018,21/04/1982
War over Lebanon,Israel,ISR,21,04,1982,15,09,1982,147,1655,33.8938,35.5018,21/04/1982
War over the Aouzou Strip,Chad,TCD,15,11,1986,11,09,1987,300,8000,21.812487,17.453119,15/11/1986
War over the Aouzou Strip,Libya,LBY,15,11,1986,11,09,1987,300,8000,21.812487,17.453119,15/11/1986
Boxer Rebellion,France,FRA,17,06,1900,14,08,1900,58,3003,39.848295,116.352758,17/06/1900
Boxer Rebellion,United Kingdom,GBR,17,06,1900,14,08,1900,58,3003,39.848295,116.352758,17/06/1900
Boxer Rebellion,Japan,JPN,17,06,1900,14,08,1900,58,3003,39.848295,116.352758,17/06/1900
Boxer Rebellion,China,CHN,17,06,1900,14,08,1900,58,3003,39.848295,116.352758,17/06/1900
Boxer Rebellion,Russia,RUS,17,06,1900,14,08,1900,58,3003,39.848295,116.352758,17/06/1900
Boxer Rebellion,United States of America,USA,17,06,1900,14,08,1900,58,3003,39.848295,116.352758,17/06/1900
First Schleswig_Holstein,Denmark,DNK,10,04,1848,26,08,1848,138,6000,54.8973,8.98718,10/04/1848
First Schleswig_Holstein,Prussia,DEU,10,04,1848,26,08,1848,138,6000,54.8973,8.98718,10/04/1848
Spanish_American,United States of America,USA,22,04,1898,12,08,1898,112,3685,23.1136,-82.3666,22/04/1898
Spanish_American,Spain,ESP,22,04,1898,12,08,1898,112,3685,23.1136,-82.3666,22/04/1898
Austro_Sardinian,Italy,ITA,24,03,1848,09,08,1848,138,7527,46.83,11.97,24/03/1848
World War II,United Kingdom,GBR,03,09,1939,14,08,1945,2172,13365089,52.518553,14.614435,3/09/1939
World War II,South Africa,ZAF,06,09,1939,14,08,1945,2169,13365089,52.518553,14.614435,6/09/1939
World War II,Canada,CAN,10,09,1939,14,08,1945,2165,13365089,52.518553,14.614435,10/09/1939
Iran_Iraq,Iraq,IRQ,22,09,1980,20,08,1988,2889,1250000,30.4622,48.0287,22/09/1980
Iran_Iraq,Iran,IRN,22,09,1980,20,08,1988,2889,1250000,30.4622,48.0287,22/09/1980
Changkufeng,Japan,JPN,29,07,1938,11,08,1938,13,1726,42.445126,130.631813,29/07/1938
