WARNAME,STATENAME,ISO3C,STARTDAY,STARTMONTH,STARTYEAR,ENDDAY,ENDMONTH,ENDYEAR,TOTAL_WAR_TIME,TOTAL_BATTLE_DEATHS,LAT,LNG,Start_date
Lopez,Paraguay,PRY,12,11,1864,01,03,1870,1935,310000,-22.4135,-55.7422,12/11/1864
Lopez,Brazil,BRA,12,11,1864,01,03,1870,1935,310000,-22.4135,-55.7422,12/11/1864
Crimean,France,FRA,31,03,1854,01,03,1856,701,264200,33.66,44.83,31/03/1854
Crimean,United Kingdom,GBR,31,03,1854,01,03,1856,701,264200,33.66,44.83,31/03/1854
Lopez,Argentina,ARG,05,03,1865,01,03,1870,1822,310000,-22.4135,-55.7422,5/03/1865
Crimean,Italy,ITA,10,01,1855,01,03,1856,416,264200,33.66,44.83,10/01/1855
"Second Ogaden War, Phase 2",Somalia,SOM,23,07,1977,09,03,1978,229,10500,7.70284,47.6729,23/07/1977
"Second Ogaden War, Phase 2",Ethiopia,ETH,23,07,1977,09,03,1978,229,10500,7.70284,47.6729,23/07/1977
Russo_Finnish,Finland,FIN,30,11,1939,12,03,1940,103,151798,60.1699,24.9384,30/11/1939
Russo_Finnish,USSR,RUS,30,11,1939,12,03,1940,103,151798,60.1699,24.9384,30/11/1939
"Second Ogaden War, Phase 2",Cuba,CUB,23,11,1977,09,03,1978,106,10500,7.70284,47.6729,23/11/1977
Sino_Vietnamese Punitive,Vietnam,VNM,17,02,1979,16,03,1979,27,21000,23.2844,105.201,17/02/1979
Sino_Vietnamese Punitive,China,CHN,17,02,1979,16,03,1979,27,21000,23.2844,105.201,17/02/1979
La Plata,Brazil,BRA,19,07,1851,03,02,1852,199,1300,-34.9011,-56.1645,19/07/1851
La Plata,Argentina,ARG,19,07,1851,03,02,1852,199,1300,-34.9011,-56.1645,19/07/1851
Franco_Prussian,Germany,DEU,19,07,1870,26,02,1871,222,204313,49.0463,7.81941,19/07/1870
Franco_Prussian,France,FRA,19,07,1870,26,02,1871,222,204313,49.0463,7.81941,19/07/1870
Neapolitan,Sardinia/Piedmont,ITA,15,10,1860,13,02,1861,121,1000,37.77,12.45,15/10/1860
Franco_Mexican,Mexico,MEX,16,04,1862,05,02,1867,1756,20000,19.1738,-96.1342,16/04/1862
Franco_Mexican,France,FRA,16,04,1862,05,02,1867,1756,20000,19.1738,-96.1342,16/04/1862
Latvian Liberation,Latvia,LVA,02,12,1918,01,02,1920,426,13246,57.396734,27.066578,2/12/1918
Latvian Liberation,Russia,RUS,02,12,1918,01,02,1920,426,13246,57.396734,27.066578,2/12/1918
War over Angola,South Africa,ZAF,23,10,1975,12,02,1976,112,2700,-12.589568,17.026094,23/10/1975
War over Angola,Democratic Republic of the Congo,COD,23,10,1975,12,02,1976,112,2700,-12.589568,17.026094,23/10/1975
War over Angola,Cuba,CUB,23,10,1975,12,02,1976,112,2700,-12.589568,17.026094,23/10/1975
War over Angola,Angola,AGO,11,11,1975,12,02,1976,93,2700,-12.589568,17.026094,11/11/1975
Sino_Vietnamese Border War,Vietnam,VNM,05,01,1987,06,02,1987,32,4000,23.2844,105.201,5/01/1987
Sino_Vietnamese Border War,China,CHN,05,01,1987,06,02,1987,32,4000,23.2844,105.201,5/01/1987
Cenepa Valley,Ecuador,ECU,09,01,1995,27,02,1995,49,1500,4.545201,-78.450167,9/01/1995
Cenepa Valley,Peru,PER,09,01,1995,27,02,1995,49,1500,4.545201,-78.450167,9/01/1995
Second Russo_Turkish,Russia,RUS,24,04,1877,31,01,1878,282,285000,41.8101,21.0937,24/04/1877
Second Russo_Turkish,Turkey,TUR,24,04,1877,31,01,1878,282,285000,41.8101,21.0937,24/04/1877
Vietnamese_Cambodian,Cambodia,KHM,24,09,1977,08,01,1979,471,8000,11.5449,104.892,24/09/1977
Vietnamese_Cambodian,Vietnam,VNM,24,09,1977,08,01,1979,471,8000,11.5449,104.892,24/09/1977
Estonian Liberation,Estonia,EST,22,11,1918,03,01,1920,407,11750,59.354778,28.180112,22/11/1918
Estonian Liberation,Russia,RUS,22,11,1918,03,01,1920,407,11750,59.354778,28.180112,22/11/1918
Estonian Liberation,Finland,FIN,30,12,1918,03,01,1920,369,11750,59.354778,28.180112,30/12/1918
World War II,Hungary,HUN,27,06,1941,20,01,1945,1303,13365089,52.518553,14.614435,27/06/1941
Franco_Thai,France,FRA,01,12,1940,28,01,1941,58,1400,17.885662,102.565174,1/12/1940
Franco_Thai,Thailand,THA,01,12,1940,28,01,1941,58,1400,17.885662,102.565174,1/12/1940
First Kashmir,India,IND,26,10,1947,01,01,1949,433,3500,33.081916,75.977594,26/10/1947
First Kashmir,Pakistan,PAK,26,10,1947,01,01,1949,433,3500,33.081916,75.977594,26/10/1947
"Vietnam War, Phase 2",Philippines,PHL,01,10,1966,28,01,1973,2311,1021442,17.01,106.82,1/10/1966
"Vietnam War, Phase 2",South Korea,KOR,01,05,1965,28,01,1973,2829,1021442,17.01,106.82,1/05/1965
"Vietnam War, Phase 2",Thailand,THA,01,10,1967,28,01,1973,1946,1021442,17.01,106.82,1/10/1967
"Vietnam War, Phase 2",United States of America,USA,07,02,1965,27,01,1973,2911,1021442,17.01,106.82,7/02/1965
Latvian Liberation,Estonia,EST,01,01,1919,03,01,1920,367,13246,57.396734,27.066578,1/01/1919
