"WAR_YEAR","COUNTRY_GAINING","ISO3C_GAINING","COUNTRY_LOSING","ISO3C_LOSING","POP","AREA","CONSEQUENCE"
1971,"United Arab Emirates","ARE","United Arab Emirates","ARE",154656,90410,"unification"
1972,"Honduras","HND","United States","USA",,3,"cession"
1972,"Honduras","HND","United States","USA",,3,""
1972,"India","IND","Pakistan","PAK",,179,"cession"
1972,"India","IND","Pakistan","PAK",,179,""
1972,"Japan","JPN","United States","USA",934176,848,"cession"
1972,"Japan","JPN","United States","USA",934176,848,""
1972,"Pakistan","PAK","India","IND",3506160,14609,"cession"
1972,"Pakistan","PAK","India","IND",3506160,14609,""
1972,"United Arab Emirates","ARE","United Arab Emirates","ARE",24482,1690,"unification"
1973,"Bahamas","BHS","United Kingdom","GBR",168812,13864,"unknown process"
1973,"Israel","ISR","Syria","SYR",15000,780,"conquest"
1973,"Libya","LBY","Chad","TCD",78000,78000,"conquest"
1974,"Egypt","EGY","Israel","ISR",1000,1000,"cession"
1974,"Egypt","EGY","Israel","ISR",1000,1000,""
1974,"Grenada","GRD","United Kingdom","GBR",107779,344,"unknown process"
1974,"Guinea-Bissau","GNB","Portugal","PRT",487448,36125,"unknown process"
1974,"Sri Lanka","LKA","India","IND",100,1,"cession"
1974,"Sri Lanka","LKA","India","IND",100,1,""
1974,"Turkey","TUR","Cyprus","CYP",250000,3640,"conquest"
1975,"Angola","AGO","Portugal","PRT",5673046,1246700,"unknown process"
1975,"Cape Verde","CPV","Portugal","PRT",272071,4033,"unknown process"
1975,"Comoros","COM","France","FRA",252000,1862,"unknown process"
1975,"Egypt","EGY","Israel","ISR",2000,20000,"cession"
1975,"Egypt","EGY","Israel","ISR",2000,20000,""
1975,"Iraq","IRQ","Saudi Arabia","SAU",,3500,"cession"
1975,"Iraq","IRQ","Saudi Arabia","SAU",,3500,""
1975,"Mozambique","MOZ","Portugal","PRT",8233834,784961,"unknown process"
1975,"Papua New Guinea","PNG","Australia","AUS",2600000,462840,"unknown process"
1975,"Saudi Arabia","SAU","Iraq","IRQ",2000,3500,"cession"
1975,"Saudi Arabia","SAU","Iraq","IRQ",2000,3500,""
1975,"Suriname","SUR","Netherlands","NLD",414000,163265,"unknown process"
1975,"São Tomé e Príncipe","STP","Portugal","PRT",76430,964,"unknown process"
1976,"France","FRA","Comoros","COM",38000,374,"secession"
1976,"Indonesia","IDN","Portugal","PRT",610541,14984,"conquest"
1976,"Mauritania","MRT","Spain","ESP",,88667,"cession"
1976,"Mauritania","MRT","Spain","ESP",,88667,""
1976,"Morocco","MAR","Spain","ESP",,177667,"cession"
1976,"Morocco","MAR","Spain","ESP",,177667,""
1976,"Seychelles","SYC","United Kingdom","GBR",59000,404,"unknown process"
1976,"Seychelles","SYC","United Kingdom","GBR",,27,"cession"
1976,"Seychelles","SYC","United Kingdom","GBR",,27,""
1976,"Syria","SYR","Israel","ISR",,780,"cession"
1976,"Syria","SYR","Israel","ISR",,780,""
1977,"Djibouti","DJI","France","FRA",300000,23000,"unknown process"
1978,"Dominica","DMA","United Kingdom","GBR",78000,728,"unknown process"
1978,"Panama","PAN","United States","USA",41800,1676,"cession"
1978,"Panama","PAN","United States","USA",41800,1676,""
1978,"Solomon Islands","SLB","United Kingdom","GBR",196823,29785,"unknown process"
1978,"Tuvalu","TUV","United Kingdom","GBR",5887,24,"unknown process"
1979,"Egypt","EGY","Israel","ISR",2000,20000,"cession"
1979,"Egypt","EGY","Israel","ISR",2000,20000,""
1979,"Kiribati","KIR","United Kingdom","GBR",57816,572,"unknown process"
1979,"St. Lucia","LCA","United Kingdom","GBR",121000,616,"unknown process"
1979,"St. Vincent & Grenadines","VCT","United Kingdom","GBR",120000,389,"unknown process"
1980,"Morocco","MAR","Mauritania","MRT",100000,88667,"cession"
1980,"Morocco","MAR","Mauritania","MRT",100000,88667,""
1980,"Vanuatu","VUT","France","FRA",97468,14760,"unknown process"
1980,"Zimbabwe","ZWE","United Kingdom","GBR",7360000,390622,"unknown process"
1981,"Antigua & Barbuda","ATG","United Kingdom","GBR",77000,440,"unknown process"
1981,"Belize","BLZ","United Kingdom","GBR",148300,22800,"unknown process"
1981,"Colombia","COL","United States","USA",0,10,"cession"
1981,"Colombia","COL","United States","USA",0,10,""
1983,"St. Kitts & Nevis","KNA","United Kingdom","GBR",44500,360,"unknown process"
1984,"Brunei","BRN","United Kingdom","GBR",215000,5270,"unknown process"
1986,"Mali","MLI","Burkina Faso","BFA",65000,1553,"cession"
1986,"Mali","MLI","Burkina Faso","BFA",65000,1553,""
1986,"Marshall Islands","MHL","United States","USA",40000,181,"unknown process"
1986,"Micronesia","FSM","United States","USA",95000,702,"unknown process"
1989,"Egypt","EGY","Israel","ISR",0,1,"cession"
1989,"Egypt","EGY","Israel","ISR",0,1,""
1990,"Namibia","NAM","South Africa","ZAF",1372000,823290,"unknown process"
1991,"Armenia","ARM","Russia","RUS",3450000,28400,"secession"
1991,"Azerbaijan","AZE","Russia","RUS",7200000,86600,"secession"
1991,"Belarus","BLR","Russia","RUS",10200000,207600,"secession"
1991,"Estonia","EST","Russia","RUS",1581000,45227,"secession"
1991,"Georgia","GEO","Russia","RUS",5500000,69700,"secession"
1991,"Kazakhstan","KAZ","Russia","RUS",16700000,2717300,"secession"
1991,"Kyrgyzstan","KGZ","Russia","RUS",4375000,198500,"secession"
1991,"Latvia","LVA","Russia","RUS",2600000,64610,"secession"
1991,"Lithuania","LTU","Russia","RUS",3754000,65301,"secession"
1991,"Moldova","MDA","Russia","RUS",4350000,33700,"secession"
1991,"Tajikistan","TJK","Russia","RUS",5250000,143100,"secession"
1991,"Turkmenistan","TKM","Russia","RUS",3600000,488100,"secession"
1991,"Ukraine","UKR","Russia","RUS",52000000,603700,"secession"
1991,"Uzbekistan","UZB","Russia","RUS",20300000,447400,"secession"
1992,"Bangladesh","BGD","India","IND",20,1,"cession"
1992,"Bangladesh","BGD","India","IND",20,1,""
1992,"Oman","OMN","Yemen","YEM",0,1250,"cession"
1992,"Oman","OMN","Yemen","YEM",0,1250,""
1992,"Yemen","YEM","Oman","OMN",0,1875,"cession"
1992,"Yemen","YEM","Oman","OMN",0,1875,""
1993,"Eritrea","ERI","Ethiopia","ETH",3000000,124993,"secession"
1993,"Kuwait","KWT","Iraq","IRQ",0,,"cession"
1993,"Kuwait","KWT","Iraq","IRQ",0,,""
1994,"Namibia","NAM","South Africa","ZAF",30000,1124,"cession"
1994,"Namibia","NAM","South Africa","ZAF",30000,1124,""
1994,"Palau","PLW","United States","USA",15600,487,"unknown process"
1995,"Jordan","JOR","Israel","ISR",0,340,"cession"
1995,"Jordan","JOR","Israel","ISR",0,340,""
1996,"China","CHN","Russia","RUS",0,18,"cession"
1996,"China","CHN","Russia","RUS",0,18,""
1997,"China","CHN","United Kingdom","GBR",6700000,1084,"cession"
1997,"China","CHN","United Kingdom","GBR",6700000,1084,""
1997,"Czechia","CZE","Slovakia","SVK",31,5,"cession"
1997,"Czechia","CZE","Slovakia","SVK",31,5,""
1997,"Slovakia","SVK","Czechia","CZE",120,5,"cession"
1997,"Slovakia","SVK","Czechia","CZE",120,5,""
1998,"China","CHN","Kazakhstan","KAZ",,470,"cession"
1998,"China","CHN","Kazakhstan","KAZ",,470,""
1998,"Moldova","MDA","Ukraine","UKR",0,1,"cession"
1998,"Moldova","MDA","Ukraine","UKR",0,1,""
1998,"Ukraine","UKR","Moldova","MDA",0,1,"cession"
1998,"Ukraine","UKR","Moldova","MDA",0,1,""
1999,"Botswana","BWA","Namibia","NAM",0,5,"cession"
1999,"Botswana","BWA","Namibia","NAM",0,5,""
1999,"China","CHN","Portugal","PRT",447000,21,"cession"
1999,"China","CHN","Portugal","PRT",447000,21,""
1999,"Estonia","EST","Russia","RUS",0,30,"cession"
1999,"Estonia","EST","Russia","RUS",0,30,""
1999,"Russia","RUS","Estonia","EST",0,30,"cession"
1999,"Russia","RUS","Estonia","EST",0,30,""
2000,"Egypt","EGY","Sudan","SDN",5000,20580,"conquest"
2003,"Cameroon","CMR","Nigeria","NGA",,,"cession"
2003,"Cameroon","CMR","Nigeria","NGA",,,""
2003,"Nigeria","NGA","Cameroon","CMR",,,"cession"
2003,"Nigeria","NGA","Cameroon","CMR",,,""
2004,"Yemen","YEM","Saudi Arabia","SAU",,40000,"cession"
2004,"Yemen","YEM","Saudi Arabia","SAU",,40000,""
2008,"Cameroon","CMR","Nigeria","NGA",300000,665,"cession"
2008,"Cameroon","CMR","Nigeria","NGA",300000,665,""
2008,"China","CHN","Russia","RUS",0,174,"cession"
2008,"China","CHN","Russia","RUS",0,174,""
2011,"China","CHN","Tajikistan","TJK",,1142,"cession"
2011,"China","CHN","Tajikistan","TJK",,1142,""
2011,"South Sudan","SSD","Sudan","SDN",8260000,619745,"unknown process"
2014,"Russia","RUS","Ukraine","UKR",2400000,27000,"conquest"
2015,"Bangladesh","BGD","India","IND",51000,29,"unknown process"
2015,"India","IND","Bangladesh","BGD",51000,69,"unknown process"
