"WAR_YEAR","COUNTRY_GAINING","ISO3C_GAINING","COUNTRY_LOSING","ISO3C_LOSING","POP","AREA","CONSEQUENCE"
1897,"Turkey","TUR","Greece","GRC",200,1,"cession"
1897,"United Kingdom","GBR","Ethiopia","ETH",,20720,"cession"
1897,"United Kingdom","GBR","Italy","ITA",,1,"cession"
1898,"France","FRA","United Kingdom","GBR",,13000,"cession"
1898,"Russia","RUS","China","CHN",250000,3170,"cession"
1898,"United Kingdom","GBR","China","CHN",100000,953,"cession"
1898,"United Kingdom","GBR","China","CHN",150000,738,"cession"
1898,"United Kingdom","GBR","France","FRA",,71500,"cession"
1898,"United Kingdom","GBR","Turkey","TUR",294190,8614,"conquest"
1898,"United States","USA","Spain","ESP",9000,541,"cession"
1898,"United States","USA","Spain","ESP",953243,8860,"cession"
1898,"United States","USA","Spain","ESP",1572797,114525,"cession"
1898,"United States","USA","Spain","ESP",7000000,299404,"cession"
1899,"Germany","DEU","Samoa","WSM",33000,2823,"cession"
1899,"Germany","DEU","Spain","ESP",15069,405,"cession"
1899,"Germany","DEU","United Kingdom","GBR",,1,"cession"
1899,"United Kingdom","GBR","Germany","DEU",89000,23310,"cession"
1899,"United Kingdom","GBR","Germany","DEU",,1,"cession"
1899,"United Kingdom","GBR","Kuwait","KWT",50000,15540,"annexation"
1899,"United Kingdom","GBR","Sudan","SDN",2000000,2505823,"conquest"
1899,"United Kingdom","GBR","Venezuela","VEN",,155400,"cession"
1899,"United States","USA","Samoa","WSM",4000,195,"cession"
1899,"Venezuela","VEN","United Kingdom","GBR",,1,"cession"
1900,"Russia","RUS","China","CHN",5530000,939280,"conquest"
1900,"United Kingdom","GBR","Tonga","TON",26000,700,"annexation"
1902,"Argentina","ARG","Chile","CHL",,20470,"cession"
1902,"Chile","CHL","Argentina","ARG",,27708,"cession"
1902,"Cuba","CUB","United States","USA",1572797,114525,"unknown process"
1902,"United Kingdom","GBR","Ethiopia","ETH",,292500,"cession"
1903,"Bolivia","BOL","Brazil","BRA",,3108,"cession"
1903,"Brazil","BRA","Bolivia","BOL",70000,191000,"cession"
1903,"France","FRA","Morocco","MAR",62000,499870,"conquest"
1903,"Panama","PAN","Colombia","COL",400000,75690,"secession"
1903,"United States","USA","Panama","PAN",21650,1678,"cession"
1903,"United States","USA","United Kingdom","GBR",,1,"cession"
1904,"Brazil","BRA","Ecuador","ECU",,67600,"cession"
1904,"France","FRA","Thailand","THA",,20720,"cession"
1904,"France","FRA","United Kingdom","GBR",,1,"cession"
1904,"France","FRA","United Kingdom","GBR",,16,"cession"
1904,"Thailand","THA","France","FRA",,6076,"cession"
1905,"China","CHN","Russia","RUS",5530000,939280,"cession"
1905,"Japan","JPN","Russia","RUS",9824,32348,"cession"
1905,"Japan","JPN","Russia","RUS",405680,3253,"cession"
1905,"Norway","NOR","Sweden","SWE",2240032,323917,"secession"
1906,"Belgium","BEL","United Kingdom","GBR",250000,38850,"cession"
1906,"United Kingdom","GBR","Turkey","TUR",,1,"cession"
1907,"Brazil","BRA","Bolivia","BOL",,65000,"cession"
1907,"Brazil","BRA","Colombia","COL",,162500,"cession"
1907,"France","FRA","Morocco","MAR",,100,"conquest"
1907,"France","FRA","Thailand","THA",,18130,"cession"
1907,"Thailand","THA","France","FRA",,35641,"cession"
1908,"Bulgaria","BGR","Turkey","TUR",4035575,96345,"secession"
1909,"Peru","PER","Bolivia","BOL",,26000,"cession"
1909,"United Kingdom","GBR","Thailand","THA",450000,38195,"cession"
1910,"Belgium","BEL","United Kingdom","GBR",,1,"cession"
1910,"Morocco","MAR","France","FRA",,100,"cession"
1910,"United Kingdom","GBR","Belgium","BEL",250000,38850,"cession"
1910,"United Kingdom","GBR","Bhutan","BTN",250000,46600,"cession"
1911,"Germany","DEU","France","FRA",1000000,259000,"cession"
1911,"Liberia","LBR","United Kingdom","GBR",,800,"cession"
1911,"United Kingdom","GBR","Liberia","LBR",,800,"cession"
1912,"Albania","ALB","Turkey","TUR",825000,28748,"secession"
1912,"France","FRA","Morocco","MAR",5400000,398523,"annexation"
1912,"Italy","ITA","Turkey","TUR",100198,2681,"conquest"
1912,"Italy","ITA","Turkey","TUR",523176,1051539,"conquest"
1912,"Spain","ESP","Morocco","MAR",600000,26000,"annexation"
1913,"Bulgaria","BGR","Turkey","TUR",,68250,"cession"
1913,"Greece","GRC","Bulgaria","BGR",1703000,19110,"cession"
1913,"Greece","GRC","Turkey","TUR",1500000,24354,"cession"
1913,"Greece","GRC","Turkey","TUR",3000000,3771,"cession"
1913,"Greece","GRC","United Kingdom","GBR",342151,8715,"annexation"
1913,"Montenegro","MNE","Turkey","TUR",,5200,"cession"
1913,"Romania","ROU","Bulgaria","BGR",286000,6959,"cession"
1913,"Saudi Arabia","SAU","Turkey","TUR",,107120,"conquest"
1914,"Albania","ALB","Greece","GRC",,1,"cession"
1914,"Italy","ITA","Albania","ALB",,5,"conquest"
1914,"Japan","JPN","Germany","DEU",168900,518,"cession"
1915,"Qatar","QAT","Turkey","TUR",,11000,"secession"
1916,"Spain","ESP","France","FRA",9836,33020,"cession"
1916,"United Kingdom","GBR","Qatar","QAT",25000,22014,"annexation"
1916,"United States","USA","Nicaragua","NIC",,10,"cession"
1917,"Finland","FIN","Russia","RUS",3105000,325534,"secession"
1917,"United States","USA","Denmark","DNK",26051,342,"cession"
1918,"Armenia","ARM","Russia","RUS",1214391,31057,"secession"
1918,"Azerbaijan","AZE","Russia","RUS",2096973,84984,"secession"
1918,"Estonia","EST","Russia","RUS",1107000,59984,"secession"
1918,"Georgia","GEO","Russia","RUS",2372403,66976,"secession"
1918,"Latvia","LVA","Russia","RUS",1596000,63300,"secession"
1918,"Lithuania","LTU","Russia","RUS",2029000,154491,"secession"
1918,"Poland","POL","Russia","RUS",15400000,263180,"secession"
1918,"Romania","ROU","Russia","RUS",2686600,45632,"cession"
1918,"Ukraine","UKR","Russia","RUS",,444595,"secession"
1919,"Australia","AUS","Germany","DEU",2120,21,"mandated territory"
1919,"Belgium","BEL","Germany","DEU",61000,1000,"cession"
1919,"France","FRA","Germany","DEU",500000,56600,"mandated territory"
1919,"France","FRA","Germany","DEU",657870,1945,"cession"
1919,"France","FRA","Germany","DEU",1500000,432012,"mandated territory"
1919,"France","FRA","Germany","DEU",1874014,14514,"cession"
1919,"France","FRA","Germany","DEU",,259000,"cession"
1919,"Greece","GRC","Bulgaria","BGR",320000,6400,"cession"
1919,"Hungary","HUN","Austria","AUT",7990000,91075,"cession"
1919,"Italy","ITA","Austria","AUT",229510,96,"cession"
1919,"Italy","ITA","Austria","AUT",1178786,18941,"cession"
1919,"Italy","ITA","France","FRA",,1,"cession"
1919,"Luxembourg","LUX","Germany","DEU",,3,"cession"
1919,"Poland","POL","Austria","AUT",8257505,80080,"cession"
1919,"Poland","POL","Germany","DEU",2700000,420000,"cession"
1919,"Portugal","PRT","Germany","DEU",,1040,"cession"
1919,"South Africa","ZAF","Germany","DEU",206000,822907,"mandated territory"
1919,"United Kingdom","GBR","Germany","DEU",188000,32634,"mandated territory"
1919,"United Kingdom","GBR","Germany","DEU",550000,80290,"mandated territory"
1920,"Australia","AUS","Germany","DEU",400000,240870,"mandated territory"
1920,"Australia","AUS","United Kingdom","GBR",5426008,7695094,"unknown process"
1920,"Canada","CAN","United Kingdom","GBR",9235000,9571661,"unknown process"
1920,"Denmark","DNK","Germany","DEU",160000,3800,"cession"
1920,"France","FRA","Turkey","TUR",1969004,184920,"mandated territory"
1920,"Japan","JPN","Germany","DEU",70500,2476,"mandated territory"
1920,"New Zealand","NZL","Germany","DEU",41828,2823,"mandated territory"
1920,"New Zealand","NZL","United Kingdom","GBR",1268046,268676,"unknown process"
1920,"Poland","POL","Lithuania","LTU",2075700,29818,"cession"
1920,"Romania","ROU","Hungary","HUN",5200000,108289,"cession"
1920,"Russia","RUS","Armenia","ARM",1214391,31057,"conquest"
1920,"Russia","RUS","Azerbaijan","AZE",2096973,84984,"conquest"
1920,"Russia","RUS","Georgia","GEO",2372403,66976,"conquest"
1920,"Russia","RUS","Ukraine","UKR",,444595,"conquest"
1920,"South Africa","ZAF","United Kingdom","GBR",6930727,1223409,"unknown process"
1920,"United Kingdom","GBR","Germany","DEU",5000000,939361,"mandated territory"
1920,"United Kingdom","GBR","Turkey","TUR",200000,89484,"mandated territory"
1920,"United Kingdom","GBR","Turkey","TUR",757182,23310,"mandated territory"
1920,"United Kingdom","GBR","Turkey","TUR",2849282,280031,"mandated territory"
1921,"Costa Rica","CRI","Panama","PAN",100,1,"annexation"
1921,"Finland","FIN","Sweden","SWE",27123,1422,"cession"
1921,"Hungary","HUN","Austria","AUT",39525,225,"cession"
1921,"Mongolia","MNG","China","CHN",2400000,1531000,"secession"
1921,"Poland","POL","Russia","RUS",3683568,113722,"cession"
1921,"Russia","RUS","Turkey","TUR",186000,6975,"cession"
1922,"China","CHN","Japan","JPN",192000,552,"cession"
1922,"Colombia","COL","Venezuela","VEN",100,1,"cession"
1922,"Egypt","EGY","United Kingdom","GBR",12800000,994300,"unknown process"
1922,"Germany","DEU","Poland","POL",1299127,9702,"cession"
1922,"Ireland","IRL","United Kingdom","GBR",3165000,68891,"unknown process"
1922,"Poland","POL","Germany","DEU",893074,3221,"cession"
1924,"Belgium","BEL","Germany","DEU",3000000,54222,"mandated territory"
1924,"Italy","ITA","United Kingdom","GBR",12000,85470,"cession"
1925,"Egypt","EGY","Italy","ITA",,1,"cession"
1925,"Italy","ITA","Egypt","EGY",,400,"cession"
1926,"New Zealand","NZL","United Kingdom","GBR",1033,6,"cession"
1926,"United Kingdom","GBR","Turkey","TUR",703378,91009,"cession"
1927,"Belgium","BEL","Portugal","PRT",,3,"cession"
1927,"Portugal","PRT","Belgium","BEL",,3500,"cession"
1928,"Netherlands","NLD","United States","USA",,1,"cession"
1928,"Norway","NOR","United Kingdom","GBR",0,48,"cession"
1929,"Peru","PER","Chile","CHL",30000,8498,"cession"
1930,"China","CHN","United Kingdom","GBR",154416,738,"cession"
1932,"France","FRA","Mexico","MEX",0,5,"cession"
1932,"Iraq","IRQ","United Kingdom","GBR",3560456,301994,"unknown process"
1932,"Japan","JPN","China","CHN",32900000,1304292,"conquest"
1933,"Japan","JPN","China","CHN",2963027,173960,"conquest"
1934,"Colombia","COL","Peru","PER",40000,113882,"cession"
1934,"Italy","ITA","France","FRA",,1,"cession"
1935,"Germany","DEU","France","FRA",812030,1912,"unification"
1935,"Italy","ITA","France","FRA",,800,"cession"
1935,"Paraguay","PRY","Bolivia","BOL",35000,233100,"conquest"
1936,"Italy","ITA","Ethiopia","ETH",7000000,906499,"conquest"
1937,"Japan","JPN","China","CHN",,1500000,"conquest"
1938,"Germany","DEU","Austria","AUT",6760000,83869,"annexation"
1939,"Germany","DEU","Lithuania","LTU",152660,2846,"annexation"
1939,"Italy","ITA","Albania","ALB",1003124,28748,"conquest"
1939,"Lithuania","LTU","Russia","RUS",457500,6656,"cession"
1939,"Turkey","TUR","France","FRA",273350,5312,"cession"
1940,"Bulgaria","BGR","Romania","ROU",,7421,"cession"
1940,"Russia","RUS","Estonia","EST",1126000,47549,"conquest"
1940,"Russia","RUS","Finland","FIN",450000,40000,"cession"
1940,"Russia","RUS","Latvia","LVA",1950000,65773,"conquest"
1940,"Russia","RUS","Lithuania","LTU",2879070,59464,"conquest"
1941,"Ethiopia","ETH","Italy","ITA",15000000,906499,"cession"
1942,"Peru","PER","Ecuador","ECU",31000,190807,"cession"
1944,"Albania","ALB","Italy","ITA",1132000,28748,"cession"
1944,"Iceland","ISL","Denmark","DNK",132000,103000,"secession"
1945,"China","CHN","Japan","JPN",6084000,35763,"cession"
1945,"China","CHN","Japan","JPN",,1500000,"cession"
1945,"Russia","RUS","Germany","DEU",,13000,"cession"
1945,"Russia","RUS","Japan","JPN",339357,41063,"cession"
1945,"Russia","RUS","Poland","POL",,179460,"cession"
1945,"United States","USA","Japan","JPN",869287,2354,"cession"
1946,"Jordan","JOR","United Kingdom","GBR",400000,89484,"unknown process"
1946,"Lebanon","LBN","France","FRA",1156000,10400,"unknown process"
1946,"Philippines","PHL","United States","USA",18400000,299404,"unknown process"
1946,"Syria","SYR","France","FRA",2978000,184920,"unknown process"
1947,"Albania","ALB","Italy","ITA",,5,"cession"
1947,"Australia","AUS","United Kingdom","GBR",0,412,"cession"
1947,"France","FRA","Italy","ITA",,1,"cession"
1947,"Greece","GRC","Italy","ITA",115343,2681,"cession"
1947,"India","IND","United Kingdom","GBR",345000,2729368,"unknown process"
1947,"Pakistan","PAK","United Kingdom","GBR",72200000,863777,"unknown process"
1947,"Russia","RUS","Finland","FIN",450000,44104,"cession"
1947,"Russia","RUS","Romania","ROU",3500000,49987,"conquest"
1947,"United States","USA","Japan","JPN",47000,1779,"mandated"
1947,"United States","USA","Japan","JPN",47000,1779,"mandated territory"
1948,"Canada","CAN","United Kingdom","GBR",324000,404519,"unification"
1948,"Israel","ISR","United Kingdom","GBR",782000,12820,"unknown process"
1948,"Myanmar","MMR","United Kingdom","GBR",18100000,678034,"unknown process"
1948,"North Korea","PRK","Russia","RUS",8000000,121129,"unknown process"
1948,"South Korea","KOR","United States","USA",20200000,98500,"unknown process"
1948,"Sri Lanka","LKA","United Kingdom","GBR",7244000,65610,"unknown process"
1949,"Belgium","BEL","Germany","DEU",,18,"cession"
1949,"Bhutan","BTN","India","IND",19920,83,"cession"
1949,"Bhutan","BTN","India","IND",300000,46600,"unknown process"
1949,"Egypt","EGY","Israel","ISR",405000,258,"conquest"
1949,"France","FRA","Germany","DEU",,7,"cession"
1949,"India","IND","Pakistan","PAK",2700000,139860,"conquest"
1949,"Indonesia","IDN","Netherlands","NLD",74800000,1491562,"unknown process"
1949,"Jordan","JOR","Israel","ISR",400000,5607,"conquest"
1949,"Luxembourg","LUX","Germany","DEU",,6,"cession"
1949,"Pakistan","PAK","India","IND",1320000,32024,"conquest"
1949,"Taiwan","TWN","China","CHN",7099000,36156,"secession"
1950,"India","IND","France","FRA",44786,10,"cession"
1951,"Poland","POL","Russia","RUS",7000,240,"cession"
1951,"Russia","RUS","Poland","POL",7000,240,"cession"
1953,"Cambodia","KHM","France","FRA",4440000,172511,"unknown process"
1953,"Japan","JPN","United States","USA",,1000,"cession"
1953,"Laos","LAO","France","FRA",1505000,236800,"unknown process"
1954,"India","IND","France","FRA",323000,503,"cession"
1954,"India","IND","Portugal","PRT",57963,491,"annexation"
1954,"Vietnam","VNM","France","FRA",16100000,155203,"unknown process"
1955,"Australia","AUS","United Kingdom","GBR",500,14,"cession"
1955,"China","CHN","Taiwan","TWN",300,1,"cession"
1955,"France","FRA","Libya","LBY",,26000,"cession"
1956,"Egypt","EGY","United Kingdom","GBR",,1,"cession"
1956,"Japan","JPN","Russia","RUS",,500,"cession"
1956,"Morocco","MAR","France","FRA",8955000,380800,"unknown process"
1956,"Morocco","MAR","Spain","ESP",1045000,19656,"cession"
1956,"Sudan","SDN","United Kingdom","GBR",10300000,2505823,"unknown process"
1956,"Tunisia","TUN","France","FRA",3963000,125180,"unknown process"
1957,"Ghana","GHA","United Kingdom","GBR",429000,33776,"unification"
1957,"Ghana","GHA","United Kingdom","GBR",6250000,204097,"unknown process"
1957,"Malaysia","MYS","United Kingdom","GBR",6279000,131287,"unknown process"
1958,"Australia","AUS","United Kingdom","GBR",3361,135,"cession"
1958,"Egypt","EGY","Syria","SYR",29300000,1187338,"unification"
1958,"Guinea","GIN","France","FRA",2896000,245857,"unknown process"
1958,"India","IND","Pakistan","PAK",,1,"cession"
1958,"Morocco","MAR","Spain","ESP",9000,13219,"cession"
1958,"Pakistan","PAK","India","IND",300,1,"cession"
1958,"Pakistan","PAK","Oman","OMN",8146,1,"cession"
1960,"Benin","BEN","France","FRA",2050000,115760,"unknown process"
1960,"Burkina Faso","BFA","France","FRA",4400000,274200,"unknown process"
1960,"Cameroon","CMR","France","FRA",4700000,432012,"unknown process"
1960,"Central African Republic","CAF","France","FRA",1227000,626000,"unknown process"
1960,"Chad","TCD","France","FRA",3070000,1283000,"unknown process"
1960,"Congo - Brazzaville","COG","France","FRA",773000,342000,"unknown process"
1960,"Congo - Kinshasa","COD","Belgium","BEL",14100000,2344932,"unknown process"
1960,"Cyprus","CYP","United Kingdom","GBR",573000,9251,"unknown process"
1960,"Côte d'Ivoire","CIV","France","FRA",3230000,322463,"unknown process"
1960,"Gabon","GAB","France","FRA",446000,267000,"unknown process"
1960,"Honduras","HND","Nicaragua","NIC",,20720,"cession"
1960,"Madagascar","MDG","France","FRA",5393000,590000,"unknown process"
1960,"Mali","MLI","France","FRA",7172000,1401182,"unknown process"
1960,"Mauritania","MRT","France","FRA",970000,1085805,"unknown process"
1960,"Niger","NER","France","FRA",2876000,1188794,"unknown process"
1960,"Nigeria","NGA","United Kingdom","GBR",52000000,878447,"unknown process"
1960,"Senegal","SEN","Mali","MLI",3110000,197161,"secession"
1960,"Somalia","SOM","Italy","ITA",1330000,461541,"unknown process"
1960,"Somalia","SOM","United Kingdom","GBR",650000,176120,"unification"
1960,"Togo","TGO","France","FRA",1440000,56600,"unknown process"
1961,"Benin","BEN","Portugal","PRT",12,2,"conquest"
1961,"Cameroon","CMR","United Kingdom","GBR",840000,42945,"unification"
1961,"China","CHN","Myanmar","MMR",0,161,"cession"
1961,"India","IND","Portugal","PRT",649660,4193,"conquest"
1961,"Kuwait","KWT","United Kingdom","GBR",322000,15540,"unknown process"
1961,"Nepal","NPL","China","CHN",31200,780,"cession"
1961,"Nigeria","NGA","United Kingdom","GBR",,45325,"unification"
1961,"Sierra Leone","SLE","United Kingdom","GBR",2252000,72326,"unknown process"
1961,"Syria","SYR","Egypt","EGY",4693000,184920,"secession"
1961,"Tanzania","TZA","United Kingdom","GBR",9399000,939361,"unknown process"
1962,"Algeria","DZA","France","FRA",10900000,2381741,"unknown process"
1962,"Burundi","BDI","Belgium","BEL",3025000,27834,"unknown process"
1962,"Jamaica","JAM","United Kingdom","GBR",1661000,11424,"unknown process"
1962,"Rwanda","RWA","Belgium","BEL",2840000,26388,"unknown process"
1962,"Samoa","WSM","New Zealand","NZL",116000,2823,"unknown process"
1962,"Trinidad & Tobago","TTO","United Kingdom","GBR",900000,5128,"unknown process"
1962,"Uganda","UGA","United Kingdom","GBR",7016000,243411,"unknown process"
1963,"Indonesia","IDN","Netherlands","NLD",751000,412781,"cession"
1963,"Kenya","KEN","United Kingdom","GBR",8847000,582646,"unknown process"
1963,"Malaysia","MYS","United Kingdom","GBR",478000,76115,"unification"
1963,"Malaysia","MYS","United Kingdom","GBR",778000,124967,"unification"
1963,"Malaysia","MYS","United Kingdom","GBR",1733000,583,"unification"
1963,"Mexico","MEX","United States","USA",100,2,"cession"
1963,"Pakistan","PAK","China","CHN",9136,1942,"cession"
1964,"Malawi","MWI","United Kingdom","GBR",3845000,119311,"unknown process"
1964,"Malta","MLT","United Kingdom","GBR",324000,316,"unknown process"
1964,"Zambia","ZMB","United Kingdom","GBR",3600000,751936,"unknown process"
1965,"Gambia","GMB","United Kingdom","GBR",330000,10368,"unknown process"
1965,"Jordan","JOR","Saudi Arabia","SAU",750,750,"cession"
1965,"Maldives","MDV","United Kingdom","GBR",98000,298,"unknown process"
1965,"Saudi Arabia","SAU","Jordan","JOR",750,750,"cession"
1965,"Singapore","SGP","Malaysia","MYS",1865000,583,"secession"
1966,"Barbados","BRB","United Kingdom","GBR",238000,430,"unknown process"
1966,"Botswana","BWA","United Kingdom","GBR",667000,575000,"unknown process"
1966,"Guyana","GUY","United Kingdom","GBR",714223,210000,"unknown process"
1966,"Lesotho","LSO","United Kingdom","GBR",1080857,30340,"unknown process"
1967,"Israel","ISR","Egypt","EGY",418800,53242,"conquest"
1967,"Israel","ISR","Jordan","JOR",674500,5878,"conquest"
1967,"Israel","ISR","Syria","SYR",60000,1710,"conquest"
1967,"Oman","OMN","United Kingdom","GBR",85,73,"cession"
1968,"Equatorial Guinea","GNQ","Spain","ESP",290000,28051,"unknown process"
1968,"Eswatini","SWZ","United Kingdom","GBR",442195,17400,"unknown process"
1968,"India","IND","Pakistan","PAK",,7000,"cession"
1968,"Japan","JPN","United States","USA",,100,"cession"
1968,"Mauritius","MUS","United Kingdom","GBR",830700,1865,"unknown process"
1968,"Nauru","NRU","Australia","AUS",6603,22,"unknown process"
1968,"Pakistan","PAK","India","IND",187200,780,"cession"
1969,"Kuwait","KWT","Saudi Arabia","SAU",2080,2850,"cession"
1969,"Morocco","MAR","Spain","ESP",51517,1505,"cession"
1969,"Saudi Arabia","SAU","Kuwait","KWT",2080,2850,"cession"
